"C";"0";"Saint-Ouen";"48.90456082213364, 2.322694729473372";"Les Grésillons";"48.9206901983449, 2.313901968217972";"08:45";"0.921"
"C";"0";"Les Grésillons";"48.9206901983449, 2.313901968217972";"Gennevilliers";"48.93282405536431, 2.307982254553742";"06:00";"0.691"
"C";"0";"Gennevilliers";"48.93282405536431, 2.307982254553742";"Épinay-sur-Seine";"48.95382604164122, 2.302388375122374";"11:50";"1.177"
"C";"0";"Épinay-sur-Seine";"48.95382604164122, 2.302388375122374";"Saint-Gratien";"48.963658273529425, 2.285777828585351";"06:27";"0.729"
"C";"0";"Saint-Gratien";"48.963658273529425, 2.285777828585351";"Ermont - Eaubonne";"48.98049890628609, 2.2707541014797794";"10:12";"1.042"
"C";"0";"Ermont - Eaubonne";"48.98049890628609, 2.2707541014797794";"Cernay";"48.985149200200375, 2.257017857907824";"03:46";"0.505"
"C";"0";"Cernay";"48.985149200200375, 2.257017857907824";"Franconville - Le Plessis-Bouchard";"48.99374640051787, 2.2341907839306554";"08:15";"0.879"
"C";"0";"Franconville - Le Plessis-Bouchard";"48.99374640051787, 2.2341907839306554";"Montigny - Beauchamp";"49.007744118117, 2.1965151756043033";"15:30";"1.482"
"C";"0";"Montigny - Beauchamp";"49.007744118117, 2.1965151756043033";"Pierrelaye";"49.01917957374756, 2.1545313948758564";"16:51";"1.595"
"C";"0";"Pierrelaye";"49.01917957374756, 2.1545313948758564";"Saint-Ouen-l'Aumône Liesse";"49.0341234164973, 2.128124092657316";"12:54";"1.267"
"C";"0";"Saint-Ouen-l'Aumône Liesse";"49.0341234164973, 2.128124092657316";"Saint-Ouen-l'Aumône";"49.04530690087292, 2.105230857870794";"10:27";"1.062"
"C";"0";"Saint-Ouen-l'Aumône";"49.04530690087292, 2.105230857870794";"Pontoise";"49.04673337596684, 2.0957859968423524";"02:09";"0.37"
"C";"1";"Montigny - Beauchamp";"49.007744118117, 2.1965151756043033";"Franconville - Le Plessis-Bouchard";"48.99374640051787, 2.2341907839306554";"15:30";"1.482"
"C";"1";"Franconville - Le Plessis-Bouchard";"48.99374640051787, 2.2341907839306554";"Cernay";"48.985149200200375, 2.257017857907824";"08:15";"0.879"
"C";"1";"Cernay";"48.985149200200375, 2.257017857907824";"Ermont - Eaubonne";"48.98049890628609, 2.2707541014797794";"03:46";"0.505"
"C";"1";"Ermont - Eaubonne";"48.98049890628609, 2.2707541014797794";"Saint-Gratien";"48.963658273529425, 2.285777828585351";"10:12";"1.042"
"C";"1";"Saint-Gratien";"48.963658273529425, 2.285777828585351";"Épinay-sur-Seine";"48.95382604164122, 2.302388375122374";"06:27";"0.729"
"C";"1";"Épinay-sur-Seine";"48.95382604164122, 2.302388375122374";"Gennevilliers";"48.93282405536431, 2.307982254553742";"11:50";"1.177"
"C";"1";"Gennevilliers";"48.93282405536431, 2.307982254553742";"Les Grésillons";"48.9206901983449, 2.313901968217972";"06:00";"0.691"
"C";"1";"Les Grésillons";"48.9206901983449, 2.313901968217972";"Saint-Ouen";"48.90456082213364, 2.322694729473372";"08:45";"0.921"
